city;district;microdistrict;street;building;area;floor;num_of_rooms;price;url;picture
Челябинск;Тракторозаводский;;Салютная;2;30;3;1;10000;https://arenda-022.ru/sdam/kvartira-salyutnaya-ul-2_1620197324;https://arenda-022.ru/images/upload/2021_05_2771_99418_Челябинск.jpg
Челябинск;Калининский;;Салавата Юлаева;15А;37;2;1;11000;https://arenda-022.ru/sdam/kvartira--salavata-yulaeva-15a_1620135755;https://arenda-022.ru/images/upload/2021_05_43_345190_Челябинск.jpg
Челябинск;Курчатовский;;Бейвеля;63;46;5;1;13000;https://arenda-022.ru/sdam/kvartira--beyvelya-63_1620189919;https://arenda-022.ru/images/upload/2021_05_7094_459934_Челябинск.jpg
Челябинск;Калининский;;Художника Русакова;3;87;3;3;20000;https://arenda-022.ru/sdam/kvartira--hudozhnika-rusakova-3_1620135472;https://arenda-022.ru/images/upload/2021_05_4985_929167_Челябинск.jpg
Челябинск;Калининский;;Университетская Набережная;97А;40;1;1;13000;https://arenda-022.ru/sdam/kvartira--universitetskaya-naberezhnaya-97a_1620189796;https://arenda-022.ru/images/upload/2021_05_6190_278300_Челябинск.jpg
Челябинск;Центральный;;Энтузиастов;16;40;4;1;14000;https://arenda-022.ru/sdam/kvartira--entuziastov-16_1620188473;https://arenda-022.ru/images/upload/2021_05_202_819084_Челябинск.jpg
Челябинск;Тракторозаводский;;Мамина;21А;34;5;1;11500;https://arenda-022.ru/sdam/kvartira--mamina-21a_1620176152;https://arenda-022.ru/images/upload/2021_05_3083_643946_Челябинск.jpg
Челябинск;Калининский;;250-летия Челябинска;5Б;36;4;1;10000;https://arenda-022.ru/sdam/kvartira--250-letiya-chelyabinska-5b_1620201932;https://arenda-022.ru/images/upload/2021_05_6175_44041_Челябинск.jpg
Челябинск;Советский;;Доватора;14;32;6;1;11000;https://arenda-022.ru/sdam/kvartira--dovatora-14_1620157794;https://arenda-022.ru/images/upload/2021_05_8694_138863_Челябинск.jpg
Челябинск;Советский;;Доватора;20А;56;2;2;14000;https://arenda-022.ru/sdam/kvartira--dovatora-20a_1620199057;https://arenda-022.ru/images/upload/2021_05_4105_313532_Челябинск.jpg
Челябинск;Курчатовский;;Ворошилова;9Б;72;6;3;30000;https://arenda-022.ru/sdam/kvartira--voroshilova-9b_1620135627;https://arenda-022.ru/images/upload/2021_05_1712_877646_Челябинск.jpg
Челябинск;Калининский;;;;60;4;2;14300;https://arenda-022.ru/sdam/kvartira-24-y-mikrorayon_1620131670;https://arenda-022.ru/images/upload/2021_05_4368_351536_Челябинск.jpg
Челябинск;Советский;;Тимирязева;10;31;2;1;10000;https://arenda-022.ru/sdam/kvartira--timiryazeva-10_1620201470;https://arenda-022.ru/images/upload/2021_05_5357_95108_Челябинск.jpg
Челябинск;Калининский;;Российская;59Б;35;1;2;15000;https://arenda-022.ru/sdam/kvartira-rossiyskaya-ul-59b_1620149786;https://arenda-022.ru/images/upload/2021_05_5778_399494_Челябинск.jpg
Челябинск;Калининский;;Братьев Кашириных;108Б;60;1;2;16000;https://arenda-022.ru/sdam/kvartira--bratev-kashirinyh-108b_1620188562;https://arenda-022.ru/images/upload/2021_05_3052_108165_Челябинск.jpg
Челябинск;Тракторозаводский;;Зальцмана;28;50;1;2;13000;https://arenda-022.ru/sdam/kvartira--zalcmana-28_1620195451;https://arenda-022.ru/images/upload/2021_05_8056_701345_Челябинск.jpg
Челябинск;Советский;;Якорная;5;42;2;2;12000;https://arenda-022.ru/sdam/kvartira-yakornaya-ul-5_1620123251;https://arenda-022.ru/images/upload/2021_05_4492_872151_Челябинск.jpg
Челябинск;Курчатовский;;Молодогвардейцев;38А;63;4;2;18000;https://arenda-022.ru/sdam/kvartira--molodogvardeycev-38a_1620120371;https://arenda-022.ru/images/upload/2021_05_5864_622296_Челябинск.jpg
Челябинск;Центральный;;Российская;73;40;8;1;12000;https://arenda-022.ru/sdam/kvartira-rossiyskaya-ul-73_1620112994;https://arenda-022.ru/images/upload/2021_05_9497_733617_Челябинск.jpg
Челябинск;Калининский;;40-летия Победы;40А;54;9;2;13000;https://arenda-022.ru/sdam/kvartira--40-letiya-pobedy-40a_1620115708;https://arenda-022.ru/images/upload/2021_05_1341_833354_Челябинск.jpg
Челябинск;Калининский;;пр-т Победы;289;30;4;1;11000;https://arenda-022.ru/sdam/kvartira-pr-t-pobedy-289_1620054738;
Челябинск;Тракторозаводский;;Ржевская;37;41;1;1;16000;https://arenda-022.ru/sdam/kvartira-rzhevskaya-ul-37_1620103965;https://arenda-022.ru/images/upload/2021_05_4155_95361_Челябинск.jpg
Челябинск;Курчатовский;;Профессора Благих;61;40;2;1;9000;https://arenda-022.ru/sdam/kvartira--professora-blagih-61_1620112034;https://arenda-022.ru/images/upload/2021_05_31_858479_Челябинск.jpg
Челябинск;Курчатовский;;Ворошилова;37;31;9;1;9500;https://arenda-022.ru/sdam/kvartira--voroshilova-37_1620109935;https://arenda-022.ru/images/upload/2021_05_8419_782641_Челябинск.jpg
Челябинск;Калининский;;Братьев Кашириных;131А;45;7;2;16000;https://arenda-022.ru/sdam/kvartira--bratev-kashirinyh-131a_1620103911;https://arenda-022.ru/images/upload/2021_05_459_292075_Челябинск.jpg
Челябинск;Курчатовский;;Захаренко;11А;50;5;2;13000;https://arenda-022.ru/sdam/kvartira--zaharenko-11a_1620101360;https://arenda-022.ru/images/upload/2021_05_5183_342492_Челябинск.jpg
Челябинск;Курчатовский;;Комсомольский пр-т;103;51;6;2;15000;https://arenda-022.ru/sdam/kvartira-komsomolskiy-pr-t-103_1620089795;https://arenda-022.ru/images/upload/2021_05_6995_160208_Челябинск.jpg
Челябинск;Калининский;;Молодогвардейцев;70;52;6;2;16000;https://arenda-022.ru/sdam/kvartira--molodogvardeycev-70_1620055225;
Челябинск;Калининский;;Набережная;5А;40;2;1;12000;https://arenda-022.ru/sdam/kvartira-naberezhnaya-ul-5a_1620082880;https://arenda-022.ru/images/upload/2021_05_3964_165753_Челябинск.jpg
Челябинск;Тракторозаводский;район;Октябрьская;5;32;2;1;10000;https://arenda-022.ru/sdam/kvartira-traktorozavodskiy-rayon-oktyabrskaya-ul-5_1620092782;https://arenda-022.ru/images/upload/2021_05_3975_200718_Челябинск.jpg
Челябинск;Калининский;;Молодогвардейцев;41В;41;2;1;12000;https://arenda-022.ru/sdam/kvartira--molodogvardeycev-41v_1620114979;https://arenda-022.ru/images/upload/2021_05_5633_209172_Челябинск.jpg
Челябинск;Калининский;;250-летия Челябинска;17;34;5;1;9500;https://arenda-022.ru/sdam/kvartira--250-letiya-chelyabinska-17_1620114012;
Челябинск;Тракторозаводский;;Трашутина;22;43;1;1;10000;https://arenda-022.ru/sdam/kvartira--trashutina-22_1620102667;https://arenda-022.ru/images/upload/2021_05_8260_204884_Челябинск.jpg
Челябинск;Тракторозаводский;район;Октябрьская;7;40;9;1;11000;https://arenda-022.ru/sdam/kvartira-traktorozavodskiy-rayon-oktyabrskaya-ul-7_1620054890;
Челябинск;Металлургический;;Коммунистическая;8;30;1;1;9000;https://arenda-022.ru/sdam/kvartira-kommunisticheskaya-ul-8_1620056126;
Челябинск;Центральный;;Клары Цеткин;28;31;1;1;13000;https://arenda-022.ru/sdam/kvartira--klary-cetkin-28_1620119057;https://arenda-022.ru/images/upload/2021_05_8833_384938_Челябинск.jpg
Челябинск;Калининский;;Академика Сахарова;12;67;1;2;32000;https://arenda-022.ru/sdam/kvartira--akademika-saharova-12_1620126230;https://arenda-022.ru/images/upload/2021_05_7579_325753_Челябинск.jpg
